text,title
"Thousands of years in the future, all the northern hemisphere is buried under the ice and snow of a new Ice Age. At the southern end of a large landmass called Ifrik, two children of the Mahondi people, seven-year old Mara and her younger brother, Dann, are abducted from their home in the middle of the night. Raised as outsiders in a poor rural village, Mara and Dann learn to survive the hardships and dangers of a life threatened as much by an unforgiving climate and menacing animals as by a hostile community of Rock People. Eventually they join the great human migration North, away from the drought that is turning the southern land to dust, and in search of a place with enough water and food to support human life. Traveling across the continent, the siblings enter cities rife with crime, power struggles, and corruption, learning as much about human nature as about how societies function. With a clear-eyed vision of the human condition, Mara and Dann is imaginative fiction at its best.",Mara and Dann : An Adventure
"Whilst struggling against the savagery of the native lifeforms to establish a bridgehead on the planet Pandora, the colonists' ship's computer becomes sentient and decides it is a god. Fully armed, it now demands that the colonists worship it.",Jesus Incident
"The intrepid Professor Lindenbrock embarks upon the strangest expedition of the nineteenth century: a journey down an extinct Icelandic volcano to the Earth's very core. In his quest to penetrate the planet's primordial secrets, the geologist - together with his quaking nephew Axel and their devoted guide, Hans - discovers an astonishing subterranean menagerie of prehistoric proportions. Verne's imaginative tale is at once the ultimate science fiction adventure and a reflection on the perfectibility of human understanding and the psychology of the questor.",Journey to the Centre of the Earth
"As a new threat arises from outside the walls of the City, the warring Truants and Educators must join forces or be destroyed. The fate of the City is determined at last in this long-awaited conclusion to the Truancy trilogy.At the publisher's request, this title is being sold without Digital Rights Management software (DRM) applied.",Truancy City
"(Book Jacket Status: Not Jacketed)No-one in the grip of Mary Shelley's FRANKENSTEIN, with its mythic-minded hero and its highly sympathetic monster who reads Goethe and longs to be at peace with himself, can fail to notice how much more excellent the original is than all the adaptations, imitations and outright plagiarisms which have followed in its ample wake.  In her first novel, written at the instigation of Lord Byron and published in 1818, Mary Shelley produced English Romanticism's finest prose fiction.From the Hardcover edition.",Frankenstein
"As Israelis and Christ-followers flee Jerusalem, Judd and Lionel seek shelter from a possible attack by Global Community troops, Vicki and her friends attempt to rescue a Morale Monitor, and kids in Wisconsin uncover a strange illness.",Escape to Masada
"Dystopian narrative is a product of the social ferment of the twentieth century. A hundred years of war, famine, disease, state terror, genocide, ecocide, and the depletion of humanity through the buying and selling of everyday life provided fertile ground for this fictive underside of the utopian imagination. From the classical works by E. M. Forster, Yevgeny Zamyatin, Aldous Huxley, George Orwell, and Margaret Atwood, through the new maps of hell in postwar science fiction, and most recently in the dystopian turn of the 1980s and 1990s, this narrative machine has produced challenging cognitive maps of the given historical situation by way of imaginary societies which are even worse than those that lie outside their authors' and readers' doors.In  Scraps of the Untainted Sky , Tom Moylan offers a thorough investigation of the history and aesthetics of dystopia. To situate his study, Moylan sets out the methodological paradigm that developed within the interdisciplinary fields of science fiction studies and utopian studies as they grow out of the oppositional political culture of the 1960 and 1970s (the context that produced the project of cultural studies itself). He then presents a thorough account of the textual structure and formal operations of the dystopian text. From there, he focuses on the new science-fictional dystopias that emerged in the context of the economic, political, and cultural convulsions of the 1980s and 1990s, and he examines in detail three of these new ""critical dystopias:"" Kim Stanley Robinson's  The Gold Coast, Octavia Butler's  The Parable of the Sower , and Marge Piercy's  He, She, and It .With its detailed, documented, and yet accessible presentation, Scraps of the Untainted Sky will be of interest to established scholars as well as students and general readers who are seeking an in-depth introduction to this important area of cultural production.","Scraps of the Untainted Sky : Science Fiction, Utopia, Dystopia"
"Is anyone out there?   Ann Burden is sixteen years old and completely alone. The world as she once knew it is gone, ravaged by a nuclear war that has taken everyone from her. For the past year, she has lived in a remote valley with no evidence of any other survivors.   But the smoke from a distant campfire shatters Ann's solitude. Someone else is still alive and making his way toward the valley. Who is this man? What does he want? Can he be trusted? Both excited and terrified, Ann soon realizes there may be worse things than being the last person on Earth.",Z for Zachariah
"Given his lifetime assignment at the Ceremony of Twelve, Jonas becomes the receiver of memories shared by only one other in his community and discovers the terrible truth about the society in which he lives.",Giver
"No American masterpiece casts quite as awesome a shadow as Melville's monumental Moby Dick.  Mad Captain Ahab's quest for the White Whale is a timeless epic--a stirring tragedy of vengeance and obsession, a searing parable about humanity lost in a universe of moral ambiguity.  It is the greatest sea story ever told.  Far ahead of its own time, Moby Dick was largely misunderstood and unappreciated by Melville's contemporaries.  Today, however, it is indisputably a classic.  As D.H. Lawrence wrote, Moby Dick ""commands a stillness in the soul, an awe . . . [It is] one of the strangest and most wonderful books in the world.""",Moby Dick
"Nicolae Carpathia, the ruthless, newly appointed president of Romania, is invited to speak before the U.N., and in the blink of an eye, millions disappear and are welcomed into the presence of God, but for those who are left behind, only the darkest days lie ahead. 250,000 first printing. $100,000 ad/promo.","Rapture : In the twinkling of an eye, countdown to the earth's last days"
"The final book in C.S. Lewis's acclaimed Space Trilogy, which includes Out of the Silent Planet and Perelandra, That Hideous Strength concludes the adventures of the matchless Dr. Ransom. Finding himself in a world of superior alien beings and scientific experiments run amok, Dr. Ransom struggles with questions of ethics and morality, applying age-old wisdom to a brave new universe dominated by science. His quest for truth is a journey filled with intrigue and suspense.",That Hideous Strength : A Modern Fairy-Tale for Grown-Ups
"This abridged classic shows the struggle between good and evil that Dr. Jekyll faced, and how in the end, his own good nature was overpowered by the evil in himself. It is one of a series of shortened classic stories ranging from chilling tales to gripping adventures.",Dr. Jekyll and Mr. Hyde : A Horror Classic
Dizzyingly imaginative science fiction thriller from one of the most exciting and original new voices in the genre.,Rim
A monster assembled by a scientist from parts of dead bodies develops a mind of his own as he learns to loathe himself and hate his creator.,Frankenstein : The Modern Prometheus
"A scientist who has discovered a way to make himself invisible unleashes his growing madness and frustrations by terrorizing a small town, in a new edition of the science fiction classic. Reprint.",Invisible Man
"In the terrible aftermath of a nuclear holocaust, a wolf and a human woman form a mysterious bond that brings each close to the spirits of the shattered earth",Wolf of Shadows
"Lydia Lozen Magruder—the great-granddaughter of a female Apache war-shaman—has seen visions of the End since childhood. She has constructed a massive ranch-fortress in the American Southwest, stocked with everything necessary to rebuild civilization.Now her visions are coming true. John Stone, once a baseball star and now a famous gonzo journalist, stumbled across a plan to blast humanity back to the stone age. Then he vanished. Lydia’s only hope of tracking him down lies with her stubborn, globe-trotting daughter, Kate, Stone’s former lover.Kate is about to step right into the plotters’ crosshairs. Stone has been captured by a pair of twin Middle Eastern princesses, hell-bent on torturing him until he reveals all he knows.Meanwhile, a Russian general obsessed with nuclear Armageddon has also disappeared...as have eight or more of his Russian subs, armed with nuclear-tipped missiles.The world is armed for self-destruction.Who will survive?",End of Days
"Fifteen years ago, the Mayor of the Education City was presented with an unwelcome surprise by his superiors: twin six-month-old boys. As the Mayor reluctantly accepted the two babies, he had no way of knowing that they would change the city forever….Raised in the comfort of the Mayoral mansion, Umasi and Zen are as different as two brothers can be. Umasi is a good student; Zen an indifferent one. They love their adoptive father, but in a city where education is absolute, even he cannot keep them sheltered from the harsh realities of the school system. But when they discover that their father is responsible for their suffering, affection turns to bitterness. Umasi and Zen are thrust onto two diverging paths. One will try to destroy the City. The other will try to stop him. ",Truancy Origins
"After rebel Tally Youngblood brings down the uglies/pretties/specials regime, fame, instead of beauty, becomes the new world order, and fifteen-year-old Aya Fuse embarks on a dangerous plan to boost her popularity ranking.",Extras
"During one of his several adventurous voyages in the 1600s, an Englishman becomes the sole survivor of a shipwreck and lives on a deserted island for more than twenty-eight years.",Adventures of Robinson Crusoe
"The war between humans halted as the great military powers scrambled to meet an even deadlier foe. Already, Berlin and Washington had been wiped out and the US and the Axis territories lay under the invaders' control. Yet humanity refused to surrender.",World War : Tilting the Balance
A fantastic tale of the world's beauty and unity after the Great Change occurs,In the Days of the Comet
"An iconic novel dressed in a fierce design by acclaimed fashion illustrator Ruben Toledo. See the other titles in the couture-inspired collection: The Picture of Dorian Gray, Dracula, The Scarlet Letter, Wuthering Heights and Pride and Prejudice.    One of the best novels ever written, in a chic new deluxe edition    Orphaned Jane Eyre endures an unhappy childhood, hated by her aunt and cousins and then sent to comfortless Lowood School. But life there improves and Jane stays on as a teacher, though she still longs for love and friendship. At Mr Rochester's house, where she goes to work as a governess, she hopes she might have found them - until she learns the terrible secret of the attic.",Jane Eyre
"The dramatic, vibrant illustrations of noted American artist N. C. Wyeth enhance this large-format edition of Daniel Defoe's classic tale. The thrilling saga of the English sailor marooned on a desert island, originally published in 1719, is retold here for children aged 4 to 8, who will be captivated by the castaway's adventures and struggle for survival.",Robinson Crusoe
"Overlords and humanity battle to claim Earth in a war as old as the alien domination of the planet. Yet with each new offensive comes stunning new revelations?exposing mysteries that were unfathomable before Skydark but are now quite real and deadly. Still, hope lies in the brilliant counteroffensive led by the Cerberus rebels, for whom success means nothing less than returning Earth to mankind. An exotic combination of reptilian and human DNA, the Najah are the revitalized original foot soldiers of the Earth's ancient alien masters, the Annunaki. Having survived the megacull of humanity, these half-cobra warriors vow to avenge their near extinction and usher in a new age on Earth. From a massive, underground war base in northern India, this monstrous force launches its cleansing fire. Kane and his allies have one hope?a renegade female Najah, reptilian and ruthless, whose alliance is both a promise?and a threat.",Serpent's Tooth
Opposing forces struggle for control of the universe when the archenemy of the Emperor is banished to a barren world where water is the most precious commodity,Dune
"The Sirens of Titan (1959), Vonnegut’s second novel, was on the Hugo final ballot along with Robert Heinlein’s Starship Troopers and lost in what Harlan Ellison called a monumental injustice. Malachi Constant is a feckless but ultimately good-hearted millionaire who, in this incondensable interplanetary Candide (lacking perhaps Voltaire’s utter bitterness), searches the solar system for the ultimate meaning of existence.Constant is aided by another tycoon, Winston Rumfoord, who, with the help of aliens, has discovered the fundamental meaning of life. With the help of Salo - an alien robot overseeing the alien race, the Tralmafordians (who also feature in Slaughterhouse-Five) - Constant attempts to find some cosmic sense and order in the face of universal malevolence. Constant and Rumfoord deal with the metaphysics of “chrono-synclastic infundibula” and the interference of the Tralmafadorians. The novel is pervaded by a goofy, episodic charm which barely shields the readers (or the characters) from the fact of what seems to be a large and indifferent universe.All of Vonnegut’s themes and obsessions, further developed or recycled in later work, are evident here in a novel slightly more hopeful than most of his canon. It is suggested that ultimately Constant learns only that it is impossible to learn, that fate (and the Tralmafadorians) are impenetrable. On the basis of this novel, Vonnegut was wholly claimed by the science fiction community (as the Hugo nomination demonstrated) but he did not reciprocate, feeling from the outset that to be identified as a science fiction writer would limit his audience and trivialize his themes. His recurring character, the hack science fiction writer Kilgore Trout (prominent in Slaughterhouse-Five) was for Vonnegut a worst case version of the writer he did not wish to become.",Sirens of Titan
"Victor Frankenstein, a Swiss scientist, has a great ambition: to createintelligent life. But when his creature first stirs, he realizes he has constructed a monster. Abandoned by its maker and shunned by everyone who sees it, the monster turns on its creator and haunts Dr. Frankenstein with murder and horrors to the very ends of the earth. Artist Frazer Irving's cinematic and moving portrayal of the doctor and his creation is sympathetic and powerful. ",Frankenstein
"This is the story of a lie that became the most powerful kind of truth.  A timeless novel as urgently compelling as War Day or Alas, Babylon, David Brin's The Postman is the dramatically moving saga of a man who rekindled the spirit of America through the power of a dream, from a modern master of science fiction.He was a survivor--a wanderer who traded tales for food and shelter in the dark and savage aftermath of a devastating war.  Fate touches him one chill winter's day when he borrows the jacket of a long-dead postal worker to protect himself from the cold.  The old, worn uniform still has power as a symbol of hope, and with it he begins to weave his greatest tale, of a nation on the road to recovery.",Postman
"The New York Times bestselling author continues his ""epic of survival and rebirth"" (Library Journal), chronicling a modern world without technology. Rudi Mackenzie has journeyed far across the land that was once the United States of America, hoping to find the source of the world-altering event that has come to be known as The Change. His final destination is Nantucket, an island overrun with forest, inhabited by a mere two hundred people who claim to have been transported there from out of time. Only one odd stone house remains standing. Within it, Rudi finds a beautifully made sword waiting for him-and once he takes it up, nothing will ever be the same...",Sword of the Lady : A Novel of the Change
"A world at stake.A quest for the ultimate prize.Are you ready? It’s the year 2044, and the real world is an ugly place. Like most of humanity, Wade Watts escapes his grim surroundings by spending his waking hours jacked into the OASIS, a sprawling virtual utopia that lets you be anything you want to be, a place where you can live and play and fall in love on any of ten thousand planets. And like most of humanity, Wade dreams of being the one to discover the ultimate lottery ticket that lies concealed within this virtual world. For somewhere inside this giant networked playground, OASIS creator James Halliday has hidden a series of fiendish puzzles that will yield massive fortune—and remarkable power—to whoever can unlock them.   For years, millions have struggled fruitlessly to attain this prize, knowing only that Halliday’s riddles are based in the pop culture he loved—that of the late twentieth century. And for years, millions have found in this quest another means of escape, retreating into happy, obsessive study of Halliday’s icons. Like many of his contemporaries, Wade is as comfortable debating the finer points of John Hughes’s oeuvre, playing Pac-Man, or reciting Devo lyrics as he is scrounging power to run his OASIS rig.And then Wade stumbles upon the first puzzle.Suddenly the whole world is watching, and thousands of competitors join the hunt—among them certain powerful players who are willing to commit very real murder to beat Wade to this prize. Now the only way for Wade to survive and preserve everything he knows is to win. But to do so, he may have to leave behind his oh-so-perfect virtual existence and face up to life—and love—in the real world he’s always been so desperate to escape. At once wildly original and stuffed with irresistible nostalgia, Ready Player One is a spectacularly genre-busting, ambitious, and charming debut—part quest novel, part love story, and part virtual space opera set in a universe where spell-slinging mages battle giant Japanese robots, entire planets are inspired by Blade Runner, and flying DeLoreans achieve light speed.",Ready Player One
"""A page-turner...Chichton's writing is cinematic, with powerful visual images and nonstop action. This book should come with hot buttered popcorn.""NEWSWEEKA group of American scientists are rushed to a huge vessel that has been discovered resting on the ocean floor in the middle of the South Pacific. What they find defines their imaginations and mocks their attempts at logical explanation. It is a spaceship of phenomenal dimensions, apparently, undamaged by its fall from the sky. And, most startling, it appears to be at least three hundred years old....""The suspense is real.""THE NEW YORK TIMES BOOK REVIEWFrom the Paperback edition.",Sphere
"Requiem is a darkly comic novel about what it means to be human in a culture obsessed with sex and death. With a structure loosely based on the Mass for the Dead, this novel includes letters-to-the-editor, an e-mail correspondence with a porn queen, scenes from the lives of classical musicians, and retellings of biblical stories. In the process, White charts the rise and fall of the Human from the Bible (pre-human), to the Enlightenment (the invention of the human), to the digital age (post-human). In an America where everyone - including a well-known NPR interviewer - keeps a secret website, and where a modern Prophet can only weep at the stories he hears, Requiem reveals our past, present and future with wit, sadness, and complete honesty.",Requiem
"Thirteen-year-old Meg Murry, her little brother Charles Wallace, and their friend Calvin are guided by unearthly strangers as they go on a journey through space and time to search for Meg's and Charles' scientist father who disappeared while experimenting with a new form of space travel. Includes related readings and study questions.",Wrinkle in Time : With Related Readings
"In the classic novel of censorship and defiance, a totalitarian regime in the future has ordered all books to be destroyed, but one of the book burners suddenly realizes their merit.",Fahrenheit 451
"H. G. Wells' prophetic The War in the Air foretold the use of airplanes in warfare and the coming of World War I. First serialized in 1907 and published in book form in 1908, the novel tells the story of the forward-thinking tinkerer Bert Smallways. Alfred Butteridge is said to be the only English aviator to know the ""secret of the flying machine."" When Bert Smallways accidentally falls into Butteridge's hot air balloon, he soon finds himself enmeshed in a German plot to bomb New York city. The setting is the outbreak of war as German forces attempt to dominate the air before the Americans can succeed in building a large aerial navy. On the other side of the United States tensions with the ""Confederation of Eastern Asia"", an allegiance between China and Japan, compound into full scale war, leaving the U.S. to fight on both eastern and western fronts, on sea and in the air.",War in the Air
"  Stevenson's famous exploration of humanity's basest capacity for evil, ""Strange Case of Dr. Jekyll and Mr. Hyde,"" has become synonymous with the idea of a split personality. More than a morality tale, this dark psychological fantasy is also a product of its time, drawing on contemporary theories of class, evolution, criminality, and secret lives. Also in this volume are ""The Body Snatcher,"" which charts the murky underside of Victorian medical practice, and ""Olalla,"" a tale of vampirism and ""the beast within,"" with a beautiful woman at its center.    ",Strange Case of Dr. Jekyll and Mr. Hyde : And Other Tales of Terror
"Part science fiction, part dystopian fantasy, part radical socialist tract, Jack London's The Iron Heel offers a grim depiction of warfare between the classes in America and around the globe. Originally published nearly a hundred years ago, it anticipated many features of the past century, including the rise of fascism, the emergence of domestic terrorism, and the growth of centralized government surveillance and authority. What begins as a war of words ends in scenes of harrowing violence as the state oligarchy, known as ""the Iron Heel,"" moves to crush all opposition to its power.       First time in Penguin Classics       Includes introduction and explanatory notes     ",Iron Heel
"Four English school children find their way through the back of a wardrobe into the magic land of Narnia and assist Aslan, the golden lion, to triumph over the White Witch, who has cursed the land with eternal winter.","Lion, the Witch and the Wardrobe"
"The intrepid Professor Lindenbrock embarks upon the strangest expedition of the nineteenth century: a journey down an extinct Icelandic volcano to the Earth's very core. In his quest to penetrate the planet's primordial secrets, the geologist - together with his quaking nephew Axel and their devoted guide, Hans - discovers an astonishing subterranean menagerie of prehistoric proportions. Verne's imaginative tale is at once the ultimate science fiction adventure and a reflection on the perfectibility of human understanding and the psychology of the questor.",Journey to the Centre of the Earth
"Joey Lindsten is ten years old in 1942 when she and her family move to wartime Washington, D.C., where Joey's father is working as an atomic physicist. The Lindsten family is under strain, not only because of the pressures of the war and the secrecy that surrounds Joey's father's work, but also because he has become involved in a love affair.Full of wartime songs and radio news, The House on Q Street catches the mood of the war on the homefront as it is felt by a bright, courageous young girl on the verge of womanhood.",House on Q Street : A Novel
"The original CliffsNotes study guides offer expert commentary on major themes, plots, characters, literary devices, and historical background. The latest generation of titles in this series also features glossaries and visual elements that complement the classic, familiar format.CliffsNotes on 1984 introduces you to the modern world as imagined by George Orwell, a place where humans have no control over their own lives, where nearly every positive feeling is squelched, and where people live in misery, fear, and repression.Orwell's vision of the future may be grim, but your understanding of his novel can be bright thanks to detailed summaries and commentaries for every chapter. Other features that help you study includeCharacter analyses of major playersA character map that graphically illustrates the relationships among the charactersCritical essaysA review section that tests your knowledgeA Resource Center full of books, articles, films, and Internet sitesClassic literature or modern modern-day treasure — you'll understand it all with expert information and insight from CliffsNotes study guides.",Cliffsnotes On Orwell's 1984
Portrays life in a future time when a totalitarian government watches over all citizens and directs all activities.,1984
"Tells the story of a religious woman's courtship in eighteenth-century Newport, Rhode Island.",Ministers Wooing
"Eleanor Darcy, a woman of marginal genealogy and looks that play better than they should, is married to the economist to whom the Prime Minister listens.  Determined to rip apart the old order and start fresh, Eleanor becomes the serpent?or angel?who whispers utopian visions in Julian Darcy's ear.   With the husband in jail for imperiling the financial structure of the nation, Eleanor grants exclusive interviews to two journalists, Hugo Vansitart and Valerie Jones.  Though they seem more preoccupied with each other than with their elusive subject, their goal is the same: to capture the essence of Eleanor Darcy.  Hugo is loking for truth and pragmatism in Eleanor's vision: Valerie is in quest of the woman's struggle.   From their diverse portraits, Eleanor Darcy emerges, and so does her remarkable vision?complete with shockingly sensible ideas about child-rearing, abortion, education, integration, fundamentalism, economics?and, of course, a new twist on that old story of the sexes.   Fay Weldon has once again skewered the conventions of modern society with wit and wisdom, shining her flashlight on the threadbare morals of modern life.",Darcy's Utopia
" This is a classic tale of humanity awash in totalitarianism. A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. First published during the epoch of Stalinist Russia, today it is clear that wherever and whenever freedom is attacked, and under whatever banner, the cutting clarity and savage comedy of Orwell's masterpiece is a message still ferociously fresh.",Animal Farm
"In the third book of The End series, Joshua Jordan remains in Israel during his self-imposed 'exile' out of the reach of U.S. authorities who have trumped-up false criminal treason charges against him. His wife, Abigail, continues to lead the Roundtable to prove the innocence of her husband.Following the nuclear attack by Russia, Israel is cleaning up the bodies of dead enemy soldiers for 7 months and setting out on its 7 year plan---both per the prophecies in Ezekiel.  As corruption in high government offices threaten to block the election of a worthy presidential candidate by all means necessary---including the unthinkable---Israel's leadership is tempted to sign a 'peace' proposal initiated by the UN under the authority of Coliquin. After he discusses this plan with Pastor Peter Campbell, Joshua is convinced Coliquin may well be the prophesied Anti-Christ and that his peace plan is a trap to destroy Israel.Are the recurring dreams Joshua has had about the coming rapture from God. And is the end sooner than anyone expects?",Brink of Chaos
"The EcoTech Coalition and the expansionist Revenant theocracy are locked in a war against each other to control the planets not already colonized by aliens. Trystin Desoll is a young officer in the EcoTech armed forces. With little more than his determination and wit Trystin must defend his outpost against the invading Revenants as they drop out of the sky in overwhelming numbers. But Trystin does have one small advantage: a neural implant that allows him to tap into almost any communications network.After years of unremitting attacks by Revenant fanatics, the EcoTech forces are stretched to the breaking point. The war must end soon, before EcoTech society collapses, in either victory or defeat. But a religious and ethnic war can have no real military solution; Trystin must find another answer.The Parafaith War combines the best sort of hard science fiction adventure with an insightful examination of the relationship between the sacred and the secular.",Parafaith War
"The strange and wonderful tale of man's experiences on Mars, filled with intense images and astonishing visions, ""The Martian Chronicles"" tells the story of humanity's repeated attempts to colonize the red planet.",Martian Chronicles
"A vicious fifteen-year-old ""droog"" is  the central character of this 1963 classic,  whose stark terror was captured in Stanley  Kubrick's magnificent film of the same title.  In Anthony Burgess's nightmare vision of the  future, where criminals take over after dark,  the story is told by the central character,  Alex, who talks in a brutal invented slang that  brilliantly renders his and his friends' social pathology. A Clockwork Orange is a frightening  fable about good and evil, and the meaning of  human freedom. When the state undertakes to  reform Alex—to ""redeem"" him—the novel  asks, ""At what cost?"" This edition  includes the controversial last chapter not  published in the first edition and Burgess's  introduction ""A Clockwork Orange  Resucked.""",Clockwork Orange
"     A century and a half after its publication, Moby-Dick still stands as an indisputable literary classic. It is the story of an eerily compelling madman pursuing an unholy war against a creature as vast and dangerous and unknowable as the sea itself. But more than just a novel of adventure, more than an encyclopedia of whaling lore and legend, Moby-Dick is a haunting, mesmerizing, and important social commentary populated with several of the most unforgettable and enduring characters in literature. Written with wonderfully redemptive humor, Moby-Dick is a profound and timeless inquiry into character, faith, and the nature of perception.  With an Introduction by Nathaniel Philbrick, author of the phenomenal bestseller In the Heart of the Sea.       @greatwhitetale  Call me Ishmael. You could call me something else if you want, but since that’s my name, it would make sense to call me Ishmael.   Captain obsessed with finding a whale called Moby Dick. Sounds like the meanest VD ever, if you ask me. Sorry. Old joke. Couldn’t resist.   From Twitterature: The World's Greatest Books in Twenty Tweets or Less",Moby-Dick
"  After the destruction of nature and the death of the world . . .   After the Wicca virus drove billions to madness and suicide, replacing order and reason with violence and terror . . .   In the parched ruins of what once was civilization, one commodity is far more valuable than all others combined: female children.    When well-armed marauders roll in at dusk to brutally attack a fiercely defended compound of survivors, Jessie is unable to halt the slaughter?and she can do nothing to prevent the ruthless abduction of innocents, including her youngest child. Now, along with her outraged teenage daughter, Bliss, Jessie must set out on a journey across a blasted landscape?joining up with the desperate, the broken, the half-mad, on an impossible mission: to storm the fortress of a dark and twisted religion and bring the children home. ",Burn Down the Sky
"The Great Romance, a two-volume novella published under the pseudonym “The Inhabitant,” was one of the outstanding late nineteenth-century works of utopian science fiction. Volume 1 was a possible model for Edward Bellamy’s phenomenally successful Looking Backward, while volume 2 was assumed lost for over a century until uncovered in the Hocken Library in Dunedin, New Zealand. Together these volumes represent a remarkable piece of science fiction writing as they proffer one of the first serious considerations of the colonization of other planets and the impact of human beings on an alien culture. Here, for the first time, readers encounter descriptions of spacesuits and airlocks, space shuttles and planetary rovers, interplanetary colonization and cross-species miscegenation. Behind these genre-defining elements is the story of John Hope, who, by means of a sleeping elixir, awakes to a utopian community in a distant future—a “kingdom of thought” where the struggle for existence has been eliminated and humanity operates under an unwritten law of civility and harmony, aided by telekinesis that inerrantly reveals all wrong-doers. Since only two of the probably three volumes are extant, the tale ends with a chilling cliffhanger. In his introduction Dominic Alessio discusses the cutting-edge aspects of this work and its significance in both the realm of science fiction and the history and culture of its day.",Great Romance : A Rediscovered Utopian Adventure
"* Mp3 CD Format *. Wells weaves a story of scientific excess into a high-speed thriller. Montgomery, a brilliant but twisted biologists, is delivering exotic animals to his private island, when he rescues a shipwrecked man. An act of compassion, or another addition to his collection?",Island of Doctor Moreau
